Strategy,Trade_Count,Total_PnL,Avg_PnL,Win_Rate_Pct,Best_Trade,Worst_Trade
ema_pullback_mlv3_60,3,5.06,1.6867,66.67,3.72,-0.48
vwap_fade_mlv3_50,13,5.06,0.3892,53.85,3.62,-1.18
turtle_soup_mlv3_40,15,4.5,0.3,26.67,9.62,-1.18
turtle_soup_mlv3_30,15,4.5,0.3,26.67,9.62,-1.18
bb_squeeze_mlv3_30,3,3.76,1.2533,66.67,4.32,-0.98
prev_day_mlv3_40,8,3.51,0.4388,25.0,5.23,-1.17
bb_squeeze_mlv3_40,2,3.34,1.67,50.0,4.32,-0.98
bb_squeeze_mlv3_50,2,3.34,1.67,50.0,4.32,-0.98
ema_pullback_mlv3_50,6,2.82,0.47,50.0,2.72,-1.18
ema_pullback_mlv3_40,6,2.82,0.47,50.0,2.72,-1.18
ema_pullback_mlv3_30,8,2.66,0.3325,50.0,2.72,-1.18
vwap_fade_mlv3_60,50,2.59,0.0518,50.0,15.82,-21.68
prev_day_mlv3_50,1,1.62,1.62,100.0,1.62,1.62
sr_bounce_tight_v2,1,1.62,1.62,100.0,1.62,1.62
prev_day_mlv3_30,1,1.62,1.62,100.0,1.62,1.62
sr_bounce_tight,1,1.62,1.62,100.0,1.62,1.62
ema_pullback_mlv3_70,1,0.92,0.92,100.0,0.92,0.92
vwap_orb_mlv3_60,8,0.66,0.0825,37.5,3.02,-1.08
vwap_bounce_mlv3_40,10,0.6,0.06,30.0,3.02,-1.18
liquidity_sweep_opt,15,0.3,0.02,20.0,9.72,-1.28
vwap_fade_mlv3_40,12,-0.26,-0.0217,41.67,3.62,-1.18
liquidity_sweep_tight,15,-0.3,-0.02,20.0,9.82,-1.48
bb_squeeze_mlv3_60,1,-0.98,-0.98,0.0,-0.98,-0.98
keltner_reversion,1,-0.98,-0.98,0.0,-0.98,-0.98
bb_squeeze_mlv3_70,1,-0.98,-0.98,0.0,-0.98,-0.98
vwap_fade_mlv3_30,14,-1.92,-0.1371,35.71,3.62,-1.18
vwap_orb_mlv3_40,14,-1.92,-0.1371,35.71,3.62,-1.18
vwap_orb_mlv3_30,14,-1.92,-0.1371,35.71,3.62,-1.18
vwap_orb_mlv3_50,13,-2.14,-0.1646,30.77,3.62,-1.18
vwap_bounce_mlv3_60,4,-4.02,-1.005,0.0,-0.58,-1.18
vwap_bounce_mlv3_50,14,-19.11,-1.365,42.86,3.92,-21.67
session_open_mlv3_30,1,-21.68,-21.68,0.0,-21.68,-21.68
orb_breakout_mlv3_50,1,-21.68,-21.68,0.0,-21.68,-21.68
orb_breakout_mlv3_30,1,-21.68,-21.68,0.0,-21.68,-21.68
orb_breakout_mlv3_40,1,-21.68,-21.68,0.0,-21.68,-21.68
session_open_mlv3_40,1,-21.68,-21.68,0.0,-21.68,-21.68
orb_15min,1,-21.68,-21.68,0.0,-21.68,-21.68
vwap_bounce_mlv3_30,13,-23.34,-1.7954,23.08,3.02,-21.68
momentum_breakout_mlv3_30,81,-39.25,-0.4846,56.79,14.13,-21.69
turtle_soup_mlv3_50,86,-50.11,-0.5827,36.05,24.42,-21.68
